"NAME","PHYLUM","CLASS","Sage1_L_100_16","Sage1_L_113_16","Sage1_L_20_16","Sage1_L_40_16","Sage1_L_60_16","Sage1_L_80_16","Sage1_R_100_16","Sage1_R_113_16","Sage1_R_20_16","Sage1_R_40_16","Sage1_R_60_16","Sage1_R_80_16","Sage2_L_100_16","Sage2_L_115_16","Sage2_L_20_16","Sage2_L_40_16","Sage2_L_60_16","Sage2_L_80_16","Sage2_R_100_16","Sage2_R_115_16","Sage2_R_20_16","Sage2_R_40_16","Sage2_R_60_16","Sage2_R_80_16"
"scaffold_3933081","Pseudomonadota","Actinomycetia",0,0,0,0,0,0,0,0,0,0,1.027130963,0.914197361,0.678597377,0,0,0,0,0.677412914,0,0,0,0,0,0
"scaffold_4954345","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0.910669453,0,0,1.015383814,0.744346234,0.631577024,0.945068691,0.766299365,0,1.285600135,0,1.25480622,0,0.956918462
"scaffold_6240541","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0.845053412,0,0.681836946,0.991327226,0,0,1.092952301,0.867894212,0,0,0,1.233907058,1.383967516,1.030863125
"scaffold_6305108","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0.904703883,0,0.712548712,1.008262104,0,0.699928358,1.092952301,0.86557157,1.39732172,1.256690038,1.077600468,1.324114552,1.385499098,1.119706815
"scaffold_6487485","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0.85138811,0,0.766539015,0,0,0,1.092952301,0.779116063,0,0,0,0,1.328543017,1.157602129
"scaffold_6640503","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0.860815907,0,0.898659871,0.823786468,0,0,1.092952301,0.873396626,1.171107509,0,0,0,1.404813604,1.063248932
"scaffold_7040804","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0.911546697,0.718183039,0.778416649,0.80143628,0,0,0.957649829,0.851707384,0,1.430905084,0,0,0,1.017299721
"scaffold_7657173","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0.894885247,0,0.838693688,0,0,0,0,0.772215367,1.156891066,1.312281164,0,0,0,0
"scaffold_9000707","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0.96849322,0,0,0,0,0,0,0.744068399,0,0,0,0,0,0
"scaffold_3980931","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0.765008355,0,0,0,0,0,0,0,0,0,0,0,0
"scaffold_4188584","Pseudomonadota","Actinomycetia",0,0,0,0,0,0,0,0,0,0,0,0.878973861,0,0,0,0,0,0,0,0,0,0,0,0
"scaffold_3220144","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.767595759,0.819358534,0,0,0,0,0,1.26127605,0,0,1.092501527,0.874842608
"scaffold_4189621","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.011932309,0,0,0,0.868805932,1.296617994,1.467706079,0,0,0,1.145554179
"scaffold_4190087","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.03035034,0,0,0,0.873396626,1.440676242,1.589549759,0,0,0,1.151056559
"scaffold_4191690","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.029344402,0,0.785579334,1.09248447,0.873316515,1.439739791,1.602558656,0,1.395463554,1.418963848,1.156115619
"scaffold_4191716","Undefined","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.03063636,0,0.602335605,0,0.870314049,1.447262807,1.618692627,0,0,0,1.142502971
"scaffold_4192924","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.03063636,0,0,0,0.872898463,1.437069711,1.618692627,0,0,0,1.154494993
"scaffold_4193783","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.03063636,0,0,0,0,1.322035058,1.535013989,0,0,0,0
"scaffold_4194312","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.03063636,0,0,0.941856818,0.871915874,1.447707116,1.618692627,0,0,1.119869653,1.157602129
"scaffold_4196104","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.03063636,0,0,0,0.861603569,1.446529544,1.618692627,0,0,0,1.15647221
"scaffold_4207965","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,0,0,0,0,0.784286892,0,1.389729858,0,0,0,0
"scaffold_4212794","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,0,0,0,0,0,0,1.562032508,0,0,0,0
"scaffold_4218798","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.014541339,0,0,0,0.792813989,1.393915091,1.610266477,0,0,0,0.89433128
"scaffold_4223209","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.896947322,1.017280806,0,0,0,0.766458592,1.234999696,1.449651454,0,0,0,0.946376967
"scaffold_4227489","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.897722008,0.974705353,0,0,0,0.771308938,1.176658633,1.609232516,0,0,0,1.001515513
"scaffold_4228870","Actinomycetota","Actinomycetia",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.007137939,0,0.794056093,1.092952301,0.870232819,1.349301284,1.392772391,0,1.411259673,1.407039183,1.157602129
"scaffold_4235930","Undefined","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.894452662,1.022674984,0,0,0,0,1.434829571,1.608083219,0,0,0,0
"scaffold_4239908","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,0.974892046,0,0,0,0.768181052,1.295551051,1.478412566,0,0,0,0.963364033
"scaffold_4240281","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.88135662,0.990947574,0,0,0.871987617,0.835666581,1.329417544,1.265864785,0,0,1.14988496,1.067017119
"scaffold_4246034","Euryarchaeota","Halobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0.893172919,0.911467187,0,0,0,0.663588125,0,1.522021993,0,0,0,0
"scaffold_4269226","Undefined","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.026640355,0,0.735488197,0,0.710851729,1.327493633,1.617646622,0,0,0,1.122443938
"scaffold_4274541","Undefined","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.849806549,0,0,0.608426026,0,0,0,1.525807916,0,0,0,0.944339186
"scaffold_4282886","Pseudomonadota","Clostridia",0,0,0,0,0,0,0,0,0,0,0,0,0.889730674,0.986748368,0,0,0,0.790334065,0,1.345272581,0,0,0,1.150618724
"scaffold_4288127","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.896024504,0.956965506,0,0,0,0,1.121866878,1.360579983,0,0,0,0
"scaffold_4304641","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,0,0,0.712659744,0.903028663,0,0,1.459921341,0,0,0,0
"scaffold_4313186","Bacillota","Actinomycetia",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,0.840757434,0,0,0,0.662319103,1.299972873,1.366961938,0,0,0,0
"scaffold_4330013","Pseudomonadota","Actinomycetia",0,0,0,0,0,0,0,0,0,0,0,0,0.821620174,0.838890061,0,0.630422224,0,0.850695482,1.2232564,0,0,0,1.230057394,1.099537271
"scaffold_4358956","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,0.900684261,0,0,0,0,0,1.51166477,0,0,0,0
"scaffold_4361998","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.009264948,0,0,0,0,0,0,0,0,0,0
"scaffold_4383340","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,0.834625764,0,0,0,0.779870607,1.172376315,0,0,0,0,0.928405946
"scaffold_4387577","Undefined","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.857003506,0,0,0,0,0,0,1.485097871,0,0,0,0
"scaffold_4390608","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.000634959,0,0,0,0,1.094043505,1.618692627,0,0,0,0
"scaffold_4394547","Pseudomonadota","Actinomycetia",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,0.827605165,0,0.652002845,0.95404444,0.801244276,0,0,0,0,1.290155509,0.971690291
"scaffold_4441262","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.892139252,0,0,0,0,0.753563843,0,0,0,0,0,0
"scaffold_4460996","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,0.957784726,0.816376505,0,0,0,0,1.618692627,0,1.094763149,0,0
"scaffold_4466931","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.857307396,0,0,0,0,0.717211221,0,0,0,0,1.243936865,0
